n,inv_lambda [nm^-1],sigma_n,sigma_inv_lambda [nm^-1]
5,0.0016265121480126055,1e-09,2.6455417676325798e-06
6,0.0019068645645839125,1e-09,3.6361324676657945e-06
7,0.0020725647222399413,1e-09,4.295524527873525e-06
13,0.001711503399787096,1e-09,2.9292438874827884e-06
13,0.0016896743997431693,1e-09,2.85499957714744e-06
24,0.001729472659016591,1e-09,2.9910756782859178e-06
25,0.001978062734742372,1e-09,3.912732182576472e-06
26,0.0021129285669750724,1e-09,4.464467129139332e-06
